"dataset","model","F1","k","u","c","b"
"A2Benchmark\synthetic_97.csv",1,0.133333333333333,12,1,2,47
"A2Benchmark\synthetic_98.csv",1,0.176470588235294,11,1,2,41
"A2Benchmark\synthetic_99.csv",1,0.0833333333333333,11,1,2,50
"A3Benchmark\A3Benchmark-TS1.csv",1,0.327272727272727,15,1,2,41
"A3Benchmark\A3Benchmark-TS10.csv",2,0.736842105263158,4,1,1,41
"A3Benchmark\A3Benchmark-TS100.csv",1,0.714285714285714,14,1,1,44
"A3Benchmark\A3Benchmark-TS11.csv",2,0.344827586206897,20,0,2,46
"A3Benchmark\A3Benchmark-TS12.csv",1,0.814814814814815,12,1,2,19
"A3Benchmark\A3Benchmark-TS13.csv",2,0.875,14,0,2,40
"A3Benchmark\A3Benchmark-TS14.csv",1,0.666666666666667,4,1,0,50
"A3Benchmark\A3Benchmark-TS15.csv",1,0.444444444444444,17,1,3,0
"A3Benchmark\A3Benchmark-TS16.csv",1,0.444444444444444,20,1,3,46
"A3Benchmark\A3Benchmark-TS17.csv",1,0.666666666666667,13,1,2,40
"A3Benchmark\A3Benchmark-TS18.csv",2,0.6,17,0,2,43
"A3Benchmark\A3Benchmark-TS19.csv",2,0.470588235294118,10,1,2,37
"A3Benchmark\A3Benchmark-TS2.csv",1,0.727272727272727,17,1,2,44
"A3Benchmark\A3Benchmark-TS20.csv",1,0.827586206896552,15,1,2,40
"A3Benchmark\A3Benchmark-TS21.csv",1,0.714285714285714,2,0,3,50
"A3Benchmark\A3Benchmark-TS22.csv",2,0.666666666666667,17,0,3,0
"A3Benchmark\A3Benchmark-TS23.csv",1,0.666666666666667,15,1,2,46
"A3Benchmark\A3Benchmark-TS24.csv",1,0.769230769230769,2,0,2,42
"A3Benchmark\A3Benchmark-TS25.csv",1,1,12,1,2,30
"A3Benchmark\A3Benchmark-TS26.csv",1,0.592592592592593,20,1,2,0
"A3Benchmark\A3Benchmark-TS27.csv",1,0.727272727272727,3,1,0,32
"A3Benchmark\A3Benchmark-TS28.csv",1,0.5,10,0,3,28
"A3Benchmark\A3Benchmark-TS29.csv",1,0.5,20,1,3,0
"A3Benchmark\A3Benchmark-TS3.csv",1,0.75,19,1,2,44
"A3Benchmark\A3Benchmark-TS30.csv",1,0.736842105263158,15,1,2,42
"A3Benchmark\A3Benchmark-TS31.csv",2,0.714285714285714,4,1,1,47
"A3Benchmark\A3Benchmark-TS32.csv",1,0.5,16,1,2,50
"A3Benchmark\A3Benchmark-TS33.csv",2,0.428571428571429,9,1,2,48
"A3Benchmark\A3Benchmark-TS34.csv",2,0.125,15,0,2,49
"A3Benchmark\A3Benchmark-TS35.csv",2,0.857142857142857,10,1,2,34
"A3Benchmark\A3Benchmark-TS36.csv",1,0.571428571428572,18,1,3,0
"A3Benchmark\A3Benchmark-TS37.csv",1,0.454545454545455,18,1,2,48
"A3Benchmark\A3Benchmark-TS38.csv",1,0.857142857142857,8,0,2,49
"A3Benchmark\A3Benchmark-TS39.csv",1,0.740740740740741,17,1,2,28
"A3Benchmark\A3Benchmark-TS4.csv",2,0.545454545454545,11,1,2,10
"A3Benchmark\A3Benchmark-TS40.csv",2,0.434782608695652,4,1,1,49
"A3Benchmark\A3Benchmark-TS41.csv",1,0.682926829268293,20,1,1,38
"A3Benchmark\A3Benchmark-TS42.csv",1,0.516129032258065,16,1,2,47
"A3Benchmark\A3Benchmark-TS43.csv",1,0.645161290322581,17,1,2,28
"A3Benchmark\A3Benchmark-TS44.csv",1,0.612244897959184,17,1,1,49
"A3Benchmark\A3Benchmark-TS45.csv",2,0.285714285714286,12,1,2,46
"A3Benchmark\A3Benchmark-TS46.csv",1,0.333333333333333,18,1,3,0
"A3Benchmark\A3Benchmark-TS47.csv",1,0.695652173913044,20,1,3,36
"A3Benchmark\A3Benchmark-TS48.csv",1,0.454545454545455,20,1,3,0
"A3Benchmark\A3Benchmark-TS49.csv",2,0.5,17,0,2,45
"A3Benchmark\A3Benchmark-TS5.csv",2,1,16,0,2,0
"A3Benchmark\A3Benchmark-TS50.csv",2,0.923076923076923,5,1,1,43
"A3Benchmark\A3Benchmark-TS51.csv",2,0.64,16,0,2,36
"A3Benchmark\A3Benchmark-TS52.csv",1,0.6,19,1,3,20
"A3Benchmark\A3Benchmark-TS53.csv",1,0.666666666666667,20,1,2,39
"A3Benchmark\A3Benchmark-TS54.csv",2,0.571428571428571,18,0,2,42
"A3Benchmark\A3Benchmark-TS55.csv",1,0.540540540540541,18,1,2,39
"A3Benchmark\A3Benchmark-TS56.csv",1,1,10,1,2,47
"A3Benchmark\A3Benchmark-TS57.csv",2,0.6,17,0,2,25
"A3Benchmark\A3Benchmark-TS58.csv",1,0.5,14,1,3,0
"A3Benchmark\A3Benchmark-TS59.csv",1,0.588235294117647,20,1,3,20
"A3Benchmark\A3Benchmark-TS6.csv",1,0.769230769230769,2,0,3,49
"A3Benchmark\A3Benchmark-TS60.csv",1,0.8,8,1,1,47
"A3Benchmark\A3Benchmark-TS61.csv",1,0.40625,19,1,2,46
"A3Benchmark\A3Benchmark-TS62.csv",1,0.666666666666667,11,1,1,46
"A3Benchmark\A3Benchmark-TS63.csv",2,0.631578947368421,16,0,2,2
"A3Benchmark\A3Benchmark-TS64.csv",1,0.666666666666667,9,1,1,42
"A3Benchmark\A3Benchmark-TS65.csv",1,0.6,20,1,2,40
"A3Benchmark\A3Benchmark-TS66.csv",1,1,11,0,3,38
"A3Benchmark\A3Benchmark-TS67.csv",1,0.55,14,1,2,45
"A3Benchmark\A3Benchmark-TS68.csv",1,0.523809523809524,14,1,2,49
"A3Benchmark\A3Benchmark-TS69.csv",1,0.5,2,0,9,49
"A3Benchmark\A3Benchmark-TS7.csv",1,0.571428571428571,20,1,2,40
"A3Benchmark\A3Benchmark-TS70.csv",1,0.461538461538462,18,1,3,26
"A3Benchmark\A3Benchmark-TS71.csv",1,0.8125,13,1,2,15
"A3Benchmark\A3Benchmark-TS72.csv",1,0.705882352941177,14,1,1,49
"A3Benchmark\A3Benchmark-TS73.csv",1,0.488888888888889,18,1,1,47
"A3Benchmark\A3Benchmark-TS74.csv",1,0.461538461538462,13,1,1,50
"A3Benchmark\A3Benchmark-TS75.csv",2,0.5,17,0,2,40
"A3Benchmark\A3Benchmark-TS76.csv",2,0.666666666666667,16,0,2,1
"A3Benchmark\A3Benchmark-TS77.csv",1,0.695652173913044,3,1,0,40
"A3Benchmark\A3Benchmark-TS78.csv",2,0.666666666666667,17,0,2,48
"A3Benchmark\A3Benchmark-TS79.csv",1,0.75,20,1,3,44
"A3Benchmark\A3Benchmark-TS8.csv",1,0.75,10,1,2,21
"A3Benchmark\A3Benchmark-TS80.csv",1,0.571428571428572,20,1,2,34
